Address Line 1,Address Line 2,City,Country,URL 1,URL 2,URL 3
Tenhos Sacco Society Ltd,Tenwek Bomet,,Bomet,Kenya,http://www.yellowpageskenya.com/site/details/40511,https://softkenya.com/directory/tenhos-sacco-society-ltd/,https://softkenya.com/directory/tenhos-sacco-society-ltd/
Primescapes Limited,Kikuyu Road,,Kikuyu,Kenya,https://www.bbb.org/western-washington/business-reviews/landscape-contractors/primescapes-llc-in-camano-island-wa-22960910,https://www.houzz.com.sg/pro/peekei/primescapes-limited,https://www.houzz.com/pro/peekei/primescapes-limited
Coast Women In Development,Kisauni,,Mombasa,Kenya,http://www.aqcommunication.com/coastwomen/,https://www.youtube.com/channel/UCGNOPsGsy07--f884Cy3WBw,https://www.youtube.com/channel/UCGNOPsGsy07--f884Cy3WBw
Kamkunji Network,2Nd Street,3Rd Avenue Eastleigh,Nairobi,Kenya,https://namati.org/network/organization/kamukunji-para-legal-network-kaplen/,https://www.insightonconflict.org/conflicts/kenya/peacebuilding-organisations/kcbo-net/,https://m.facebook.com/Kamukunji-Network-377910332287256/
Harrogate Limited,2327 Karen Road,,Nairobi,Kenya,https://beta.companieshouse.gov.uk/company/00740218,https://www.taylorsofharrogate.com/,https://www.yorkshire.com/view/attractions/harrogate/spirit-of-harrogate-limited-2045411
North Eastern Media And Telecom Ltd Star Fm,General Muringi Street,,Nairobi,Kenya,https://www.internews.org/sites/default/files/resources/InfoAsAid_Somalia_MediaGuide.pdf,http://economictimes.indiatimes.com/news/politics-and-nation/pema-khandu-the-new-star-on-the-northeastern-horizon/articleshow/53242042.cms,http://www.mediacouncil.or.ke/en/mck/index.php/programs/mck-accreditation/kenya-broacasters-2013
Internet Society Kenya Chapter,Ihub Bishop Magua Building Ngong Road,,Nairobi,Kenya,http://cio.co.ke/news/top-stories/isoc-kenya-chapter-announces-2017-events,http://internetsociety.or.ke/connect-with-us/,http://internetsociety.or.ke/connect-with-us/
Community Media Trust,Kirichwa,,Nairobi,Kenya,http://www.cmt.org.za/contact-us/,http://www.cmt.org.za/contact-us/,http://www.cmt.org.za/contact-us/
Value Addition And Cottage Industry Development In Africa,Lap Trust House 3Rd Floorhaile Selassie Avecity Square,,Nairobi,Kenya,http://blogs.worldbank.org/africacan/comment/reply/2222/2696,http://www.blarbus.co.ke/listings/value-addition-and-cottage-industry-development-initiative-africa/,https://softkenya.com/directory/value-addition-cottage-industry-development-initiative-africa/
New Horizon Consultancy Services,Burhandin Road,,Malindi,Kenya,https://www.indiamart.com/new-horizon-consultancy/,https://www.indiamart.com/new-horizon-consultancy/,https://www.naukri.com/new-horizon-recruiters
"United Nations Millennium Campaign, Africa Office","Block N, United Nations Complex, Gigiri",,Nairobi,Kenya
The Constant Gardener Kenya,Jamhuri Park,,Nairobi,Kenya,http://www.imdb.com/title/tt0387131/locations,https://en.wikipedia.org/wiki/The_Constant_Gardener,http://www.imdb.com/title/tt0387131/
Support For Tropical Initiatives In Poverty Alleviation,"Off Kibos Rd,",Church View Road,Kisumu,Kenya,https://www.kenyaplex.com/business-directory/19746-support-for-tropical-initiatives-of-poverty-alleviation-stipa--kisumu.aspx,https://softkenya.com/directory/support-for-tropical-initiatives-on-poverty-alleviation-stipa/
Blue Eyes Limited,Hatheru Road Lavington,,Nairobi,Kenya,http://sourcemauritius.com/exportdirectory/name/blue-eyes-ltd/,https://www.kenyaplex.com/business-directory/91137-blue-eyes-limited-nairobi.aspx,http://www.blueeyesafrica.com/
Spanimage K Limited,Harambee Avenue,,Nairobi,Kenya,http://www.zoominfo.com/c/SPANIMAGE-LTD/356568406,https://www.youtube.com/channel/UCOhze8DhiT_ob97-ab4HmwQ,http://www.spanimage.co.ke/?tmpl=unsupported
Express Branding,Showbe Plaza Muranga / Forest Road,Roundabout Suite F2,Nairobi,Kenya,,,
Caprin Holdings Limited,Kiambu-Ruiru Road,,Kiambu,Kenya,https://opencorporates.com/companies/cy/HE252701,https://i-cyprus.com/company/380322,
Sunny Daze Ltd,Peponi Road,,Nairobi,Kenya,https://www.serenityhealth.com/fountains-by-brand/sunnydaze-decor.html,http://sunnydazechildrensfestival.ie/,http://www.sunnydazekenya.com/contact-us/
Kelega Youth Empowerment And Education,13005,,Nairobi,Kenya,https://outrightinternational.org/content/850-organizations-globally-call-governments-protect-authority-un-human-rights-council,http://www.hrc.org/resources/become-an-hrc-global-fellow,http://www.un.org/youthenvoy/2015/06/youth-empowerment-education-employment-key-future-development/
Blue Print Marketing,"Cvs Plaza, 4Th Floor Kasuku Road",Off Lenana Road,Nairob,Kenya,,
Merali Auto Oils Ltd,Nanyuki Rd,,Nairobi,Kenya,http://www.kenyabusiness.info/merali-auto-oils-ltd-80707,http://www.kenyabusiness.info/merali-auto-oils-ltd-80707,http://www.tuugo.co.ke/Companies/merali-auto-oils-ltd/1550003395
Slum Community Development Project,Off Kibera Drive,,Nairobi,Kenya,http://www.sierraleoneymca.org/slum-project/,http://www.chs.ubc.ca/archives/files/Slum-Improvement-Dhaka.pdf,http://slumaid.org/
Beacon Of Hope,Kware Slum,,Nairobi,Kenya,https://www.mapquest.com/us/new-york/business-staten-island/beacon-of-hope-1250119,https://www.mapquest.com/us/new-york/business-staten-island/beacon-of-hope-1250119,http://catholiccharitiesny.org/events/beacon-hope-house-annual-talent-show
Somali Youth Initiative For Social And Sustainable Development,Eastleigh 9Th Street,,Nairobi,Kenya,http://unsdsn.org/,https://deanpiedmont.files.wordpress.com/2015/08/un-prodoc-somalia-youth-initiative-november-2013.pdf,https://www.dai.com/uploads/Youth_in_Development_Policy_0.pdf
Ripple Pharmaceuticals Ltd,Forest Plaza Forest Road,,Nairobi,Kenya,http://www.businesslist.co.ke/company/26410/ripple-pharmaceuticals-ltd,http://www.businesslist.co.ke/company/26410/ripple-pharmaceuticals-ltd,http://ripplepharma.com/ripple_mart_ltd.php
Kikoy Co K Ltd,"Titan Hunger,  Langata Road",,Nairobi,Kenya,https://softkenya.com/directory/the-kikoy-co-ltd/,http://directory.africa-business.com/business/cfbc6c11b8/The-Kikoy-Co-Kenya-Ltd
Haki Yetu,"Bangladesh Catholic Centre, Nairobi Rd",,Mombasa,Kenya,https://www.idealist.org/en/nonprofit/f404ade2d9cb4be28ba5e88456b86b48-haki-yetu-inc-brooklyn,http://hakiyetukenya.org/
St Peters Community Network -Northern Kenya,Lowarengak,,Lodwar,Kenya,https://greatnonprofits.org/org/sapcone-turkanapeople-organization,https://www.saintpeters.edu/academics/undergraduate-programs/sociology-urban-studies/courses/,https://m.facebook.com/groups/185118055203365/permalink/326617404386762/
Geothermal Development Company,"South C Bellevue Kawi House, Off Mombasa Road",Red Cross Road,Nairobi,Kenya,|https://www.glassdoor.com/Reviews/Geothermal-Development-Company-Nakuru-Reviews-EI_IE596245.0,30_IL.31,37_IM1509.htm|,https://en.wikipedia.org/wiki/Geothermal_Development_Company
Midland Energy Limited,Hazina Towers Monrovia Street,,Nairobi,Kenya,http://yellow.co.ke/midland-energy-ltd-nairobi,http://yellow.co.ke/midland-energy-ltd-nairobi,https://softkenya.com/directory/midland-energy-ltd/
Kedo K Ngo,Mfaangaano,,Nairobi,Kenya,,,
Vert Limited,"Wall Street Business Park, Godown No 9",Behind Kenya Ports Authority Inland Depot,Nairobi,Kenya,https://www.alterfin.be/en/project/vert-ltd-innovative-cooperation-models,
Ecohealth Company Limited,Langata Road,,Nairobi,Kenya,http://ecohealth.in/,http://www.ecohealth.in/contact.html,http://www.imperiallogistics.co.za/our-divisions/africa/worldwide-healthcare
Wakahia Unity Traders,"Plot No 36,  Otieno Oyoo Street",,Kisumu,Kenya,http://bizin.co.ke/eng/wakahia-unity-traders-43884,http://www.myafricapages.com/kenya/19179/wakahia-unity-traders
Coast Clay Works Limited,Port Reitz,Off Airport Road,Mombasa,Kenya,http://www.yellowpageskenya.com/site/details/9947546,http://www.yellowpageskenya.com/site/details/9947546,https://www.kenyaplex.com/business-directory/20390-coast-clay-works-ltd-mombasa.aspx
Abb Limited,Clifton Park,Mombasa Road,Nairobi,Kenya,http://new.abb.com/products/robotics,http://new.abb.com/about,http://new.abb.com/uk
Farm Engineering Industries Limited,Kisumu -Kakamega Highway,,Kisumu,Kenya,https://www.feil.biz/contact-us,https://www.feil.biz/,https://constructionreviewonline.com/2014/07/farm-engineering-industries-limited-feil/
Kenya National Shipping Line Ltd,Canon Towers Moi Avenue,,Mombasa,Kenya,https://www.kenyaplex.com/business-directory/23257-kenya-national-shipping-line-ltd-mombasa.aspx,https://www.kenyaplex.com/business-directory/23257-kenya-national-shipping-line-ltd-mombasa.aspx,http://www.businesslist.co.ke/company/78449/kenya-national-shipping-line
Wax And Polypack Ltd,"Plot 209/9599,  New Komarock Road",,Nairobi,Kenya,http://bizin.co.ke/eng/wax-polypack-ltd-44285,https://www.ftaarea.com/company-details-135/1242372.html
Crown Auto Parts Ltd,Kirinyaga Road,,Nairobi,Kenya,http://www.jcwhitney.com/crown-automotive/b863j1s9.jcwx,https://www.kenyaplex.com/business-directory/96036-crown-auto-parts-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/96036-crown-auto-parts-ltd-nairobi.aspx
Kisumu Muslim Women Development Initiative,"Kisumu ,Kakamega Highway",,Kisumu,Kenya,http://nepjournal.com/kisumu-muslim-women-demand-assistant-kadhis-position/,https://softkenya.com/kenya/women-in-kenya-organisations/
King Plastic Industries,"Kings Plastic Building Enterprise House, Isiolo Road",Off Enterprise Road,Nairobi,Kenya,http://www.king-plastic.com/,https://www.facebook.com/pages/King-Plastic-Industries-Limited/792940817398259
Software Distributors Africa Limited,Kenya Association Of Tour Operators Building Longonot Road,Upper Hill,Nairobi,Kenya,http://www.businesslist.co.ke/company/93516/software-distributors-africa-ltd,https://www.kenyaplex.com/business-directory/5836-software-distributors-africa-limited-nairobi.aspx,http://directory.africa-business.com/business/816b11191/SOFTWARE-DISTRIBUTORS-AFRICA-LTD-
Philips Medical Systems (East Africa) Limited,Landmark Plaza 4Th Floor Off Argwings Kodhek Road Opp The Nairob,,Nairobi,Kenya,http://www.usa.philips.com/healthcare/about/contact,http://www.philips.co.uk/healthcare/solutions/customer-service-solutions/customer-care-center/distributors-africa,http://www.hoovers.com/company-information/cs/company-profile.philips_medical_systems_(east_africa)_limited.cb5f74e150e53e72.html
Greenforest Foods Ltd,Airport North Road,,Nairobi,Kenya,http://www.companiess.com/greenforest_foods_limited_info1084572.html,http://www.tradekey.com/company/Greenforest-Foods-Limited-7937863.html,https://www.oikocredit.coop/what-we-do/partners/partner-detail/30783/greenforest-foods-ltd
Lianas Medical Centre,Muratha Road- Kangemi,,Nairobi,Kenya,http://nyulangone.org/doctors/1992764476/liana-h-barkan,https://www.summitmedicalgroup.com/doctor/lspano-brennan/,https://medicine.yale.edu/intmed/rheumat/people/liana_fraenkel.profile
Impala Downtown Ltd,Impala House Tom Mboya Street,,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/12732-impala-downtown-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/12732-impala-downtown-ltd-nairobi.aspx,http://eastafricaauto.com/company/Kenya/Athi-River/Car-Parts-and-Accessories/1528.html
Strengthening Community Partnership And Empowerment,Biashara,,Kilifi,Kenya,http://www.who.int/healthpromotion/conferences/7gchp/track1/en/,http://healthmarketinnovations.org/group/strengthening-community-partnerships-empowerment-orhpans-and-vulnerable-children-scope-ovcout,http://www.acronymattic.com/Strengthening-Community-Partnership-and-Empowerment-(SCOPE).html
Salute Holdings (K) Ltd,"Office Suite Building, Block A Parklands Road",,Nairobi,Kenya,https://softkenya.com/directory/salute-holdings-ltd/,http://www.saluteholdings.com/
St Jude Thaddeus Academy,Hospital Road,,Nairobi,Kenya,http://www.pinoycode.com/private-school/404972-st-jude-thaddeus-academy/,http://www.stjudeschoolmt.org/,http://e-directorypinas.blogspot.com/2014/06/st-jude-thaddeus-academy-damulog.html
Bhinder Corporation Ltd,"Near Uni Plaza,  Pwani Road",,Mombasa,Kenya,http://cqcounter.com/whois/site/bhindercorporationltd.com.html,http://www.hoovers.com/company-information/cs/company-profile.bhinder_corporation_ltd.a0f4c34557a32919.html
Garisa Mediation Council,"Opposite National Library,  Nairobi",,Nairobi,Kenya,,
Wildlife Clubs Of Kenya,Langata Road,,Nairobi,Kenya,https://softkenya.com/kenya/wildlife-clubs-of-kenya-wck/,http://www.kws.go.ke/content/wildlife-clubs-kenya,http://www.wildlifeclubsofkenya.org/
Bar Hostess Empowerment And Support Programme,"Plot 8707, Kasarani Off Thika",,Nairobi,Kenya,http://www.bhesp.org/index.php/86-bhesp/125-about-us,http://bhesp.org/index.php/component/k2/item/20-sexworkers
Imap International Ltd,Kiambu Road,,Nairobi,Kenya,http://www.imapsystems.com/,http://africa.eopages.eu/companies/imap-international-ltd,http://africa.eopages.eu/companies/imap-international-ltd
Bahari Beach Hotel,Mount Kenya Road,"Makupa, North Coast",Mombasa,Kenya,http://www.laicohotels.com/ledger-plaza-bahari-beach/,https://www.booking.com/hotel/ke/bahari-beach.html
Inuka-Kabisa- Self Help Group,Kisumu Miwani Road,,Kisumu,Kenya,http://www.tenthousandvillages.com/smolart,,
Usaid / Redo / Ffp / Pod,Usaid At Icipe Complex,,Nairobi,Kenya,https://www.ffpjobs.com/who-we-are,http://www.cs.csub.edu/~lmelendez/revsUp/labs/files/lab07/dic94.txt,https://www.usaid.gov/what-we-do/agriculture-and-food-security/food-assistance/resources/implementation-tools/commodity-2
Shitech Agencies Ltd,Koinange,,Nairobi,Kenya,http://www.hitech-inc.com/,https://plus.google.com/112427449106016360776,https://plus.google.com/112427449106016360776
Jm Mantle  And Company Limited,St Andrews Road Off Statehouse Road,,Nairobi,Kenya,https://www.devex.com/people/meshech-m-961595,http://mantlegroup.theresumator.com/questionnaire/5028dc5bf0c29/prospect_20130528062051_QBTFEIH7MMT0KEMH/projob_20130528062051_NUKWORX9GMBKNFIU,http://www.frontfintraining.com/aboutus
Ravenzo Trading Limited,Office Suites Parklands Road,Opp St Xavier Church / University Of Nairobi Law School Campus,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/27688-ravenzo-trading-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/27688-ravenzo-trading-ltd-nairobi.aspx,http://www.petsglobal.com/website/buyerhome_42131/Ravenzo_Trading_Ltd.html
Bridge Insurance Brokers Ltd,"Philadelphia House, 2Nd Floor,  Tom Mboya Street",,Nairobi,Kenya,http://www.bridgeinsurance.co.uk/services
Ephantusfilm,Kiambu Road,,Kiambu,Kenya,http://ireport.cnn.com/docs/DOC-950595,http://ireport.cnn.com/docs/DOC-950595,http://ireport.cnn.com/docs/DOC-950595
Racemes Kenya Ltd,Marura Estate,Along Naivasha Nakuru Highway,Naivasha,Kenya,http://www.businesslist.co.ke/company/19678/racemes-kenya-ltd,http://www.businesslist.co.ke/company/19678/racemes-kenya-ltd,http://www.yellowpageskenya.com/site/details/18676
Associated Paper & Stationery Ltd,Aps Building Chogoria Road,Off Dunga Road,Nairobi,Kenya,,,
Allfruit Epz Ltd,"Changamwe, Kingorani",,Mombasa,Kenya,http://www.tradekey.com/company/Allfruit-Epz-Ltd-5322385.html,https://softkenya.com/directory/all-fruit-epz-ltd-2/
Image Business Solutions Kenya Limited,Ma4- Planet 9 Karbanet Road,,Nairobi,Kenya,http://www.imagebusinesssolutions.com/contact/,http://ibskenya.com/,http://www.zoominfo.com/c/Image-Business-Solutions-Kenya-Limited/358730449
Armaan Limited,Kilimani Area,Lenanaroad Off Woodvale Avenue,Nairobi,Kenya,http://www.khf.co.ke/client/armaan-ltd/,http://www.khf.co.ke/client/armaan-ltd/,https://aumet.me/armaan-ltd/c/2625
Amiken Limited,Lenana Road,Further Left To Chinese Embassy,Nairobi,Kenya,http://yellow.co.ke/amiken-ltd-nairobi,http://yellow.co.ke/amiken-ltd-nairobi,https://www.kenyaplex.com/business-directory/12070-amiken-ltd-nairobi.aspx
Panafrican Airways Limited,Waiyaki Way,"Westlands Office Park, Next To New Safaricom House",Nairobi,Kenya,https://worldairlinenews.com/category/pan-african-airways/,
Kibra Inter Faith Council,Kibera Drive,,Nairobi,Kenya,https://issuu.com/qeena88/docs/gpf-2015-full-annual_report,http://kenyanewsagency.go.ke/en/reject-extremism-muslim-youth-told/,http://www.ifcweb.org/volunteer
Social Unity For Leadership And Women Empowerment Sulwe,Ondiek Highway Off Sekou Toure Road,,Kisumu,Kenya,http://www.sevamandir.org/empowering-women,https://www.doublexeconomy.com/2016/04/29/social-empowerment-sustainable-life-self-reliance-dignity-love-and-respect/,http://journals.sagepub.com/doi/abs/10.1111/j.1471-6402.1993.tb00491.x
Centre For Human Rights And Civic Education,Ngiluni,,Mwingi,Kenya,http://chrce.org/,https://softkenya.com/directory/centre-for-human-rights-and-civic-education/,https://softkenya.com/directory/centre-for-human-rights-and-civic-education/
Timsim Network Limited,Drs House Lusaka Road,,Nairobi,Kenya,http://timsimnetworks.com/,https://www.facebook.com/pages/Timsim-Networks-ltd/1414769718742999,
Aztech Business Systems Ltd,"Sharp Plaza,  Mombasa Road",,Nairobi,Kenya,,
Rural Outreach Program Africa,Kari Waiyaki Way,,Nairobi,Kenya,http://www.ruraloutreachafrica.org/programs,http://www.ruraloutreachafrica.org/agriculture,http://www.ruraloutreachafrica.org/founder
Directorate Of Civil Aviation,"Airport Authority Building,  Airport North Road",,Nairobi,Kenya,,
Pico Eastern Africa,"Suite 1, Spring Court, Watermark Business Park","Ndege Road, Karen",Nairobi,Kenya
Action In Community Environment Kenya,Bungoma Mumias Road,P.O.Box 1185,Bungoma,Kenya,http://documents.worldbank.org/curated/en/961121468753321847/Main-report,https://borgenproject.org/environmental-conservation-in-kenya/,http://www.cancokenya.org/
University Of Nairobi,Ngong Road,,Nairobi,Kenya,https://smis.uonbi.ac.ke/,https://application.uonbi.ac.ke/,
Kenya Sea Turtle Conservation Committee,Mama Ngina Drive,,Mombasa,Kenya,https://www.idealist.org/en/volunter-opportunity/c0351e1c165a4bf4949147c24822d111-watamu-sea-turtle-volunteer-project-kenya-workingabroad-projects-watamu,https://www.idealist.org/en/volunter-opportunity/c0351e1c165a4bf4949147c24822d111-watamu-sea-turtle-volunteer-project-kenya-workingabroad-projects-watamu,http://www.oceandocs.org/handle/1834/91/browse%3Fvalue%3DKenya%2BSea%2BTurtle%2BConservation%2BCommittee%2B(KESCOM)%26type%3Dauthor
Royal Automotive Supplies Ltd,Kirinyaga Road,,Nairobi,Kenya,http://www.businesslist.co.ke/company/3147/royal-automotive-supplies-ltd,http://www.businesslist.co.ke/company/3147/royal-automotive-supplies-ltd,https://www.facebook.com/pages/Royal-Automotive-Supplies-ltd/320655591416609
Organization For Intercultural Education,Makadara Street,,Mombasa,Kenya,http://d22dvihj4pfop3.cloudfront.net/wp-content/uploads/sites/28/2016/12/20161633/KEN-Kenyan-coast.pdf,http://www.sietarusa.org/,http://afs.org/
Kijani Kenya,Parklands Road,,Nairobi,Kenya,http://www.kijanikenyatrust.org/en/what-we-do/,http://www.kijanikenyatrust.org/en/what-we-do/,http://www.kijanikenyatrust.org/en/causes/
Njoro Canning Factory (Kenya) Limited,Njoro Mau Narok  Road,Egerton Township Next To Egerton University (Njoro Campus),Nakuru,Kenya,https://www.facebook.com/NjoroCanningFactorykLtd/posts/1390463011219400,http://www.njorocanning.co.ke/aboutus.html,http://www.njorocanning.co.ke/profile.html
Tawheed Girls Secondary School,Mtangani Road,P O Box 1514,Malindi,Kenya,https://www.kenyaplex.com/business-directory/23095-tawheed-girls-secondary-school-malindi.aspx,https://www.kenyaplex.com/business-directory/23095-tawheed-girls-secondary-school-malindi.aspx,https://ekitabublog.wordpress.com/digital-leaders/secondary-high-schools/tawheed-girls-secondary-school/
Rosma Tours  And Travel,Haile Sellasie Avenue,,Nairobi,Kenya,http://www.rosmatoursandtravel.com/index.php/contact-us,http://www.rosmatoursandtravel.com/index.php/about-rosma/about-us,http://www.rosmatoursandtravel.com/index.php/about-rosma
Advanceone Limited,Cosy Nook Building Muguga Green Street,Opposite To Encee Place,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/5713-advanceone-limited-nairobi.aspx,https://softkenya.com/directory/advanceone-ltd/,http://www.advanceone.com/Contact-Us
Protel Studios Limited,Waiyaki Way,,Nairobi,Kenya,http://protelstudios.com/about-us/,http://protelstudios.com/about-us/,http://protelstudios.com/the-team/
Unclaimed Property Assets Register K Limited,Suraj Plaza Suite B8  Limuru Road Ngara,,Nairobi,Kenya,http://www.yellowpageskenya.com/site/details/54057,http://www.businesslist.co.ke/company/26564/unclaimed-property-assets-register-k-ltd,https://softkenya.com/directory/unclaimed-property-assets-register-k-ltd/
Alew Contractors And Suppliers Limited,Isiolo,,Isiolo,Kenya,https://beta.companieshouse.gov.uk/company/02565527/officers,http://dnb.alacrastore.com/storecontent/dnb2/559910733,http://www.infomoby.co.ke/en/profile/alew_contractors_suppliers_ltd/226108
Tin Can Manufacturers Ltd,"Nanyuki Road, Opposite Co-Operative Bank",Industrial Area,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/13356-tin-can-manufacturers-ltd-nairobi.aspx,https://www.kenyaplex.com/business-directory/13356-tin-can-manufacturers-ltd-nairobi.aspx
Bunazi Ltd,"Lr 1870/Vi/207 Westlands,  David Osieli Road",,Nairobi,Kenya,,
Boss Freight Terminal Ltd,Plot No : Block Xx11/127 Dolphin House,,Mombasa,Kenya,https://softkenya.com/directory/boss-freight-terminal-ltd/,https://softkenya.com/directory/boss-freight-terminal-ltd/,https://www.kenyaplex.com/business-directory/88894-boss-freight-terminals-ltd-mombasa.aspx
Shri Krishna Enterprises Ltd,Lr No. 209/8890,Loita Street,Nairobi,Kenya,,,
Australian Education Consultants Limited,"Ground Floor, Centro House",Westlands,Nairobi,Kenya,http://www.businesslist.co.ke/company/26612/australian-education-consultants-ltd,http://www.businesslist.co.ke/company/26612/australian-education-consultants-ltd
Gotvkenya Limited,Westlands Off Karuna Road,,Nairobi,Kenya,http://www.kenya.info.ke/2015/01/gotv-kenya-contacts.html,http://kenyanlife.info/gotv-kenya-contacts/,http://kenya.gotvafrica.com/Home/
Hypermart Ltd,Off Mombasa Road,Opposite City Cabanas,Nairobi,Kenya,https://www.ramtons.com/,http://buyer.suchbiz.com/info/HYPERMART-LTD_z15.html,https://softkenya.com/directory/hypermart-ltd/
Kwani Trust,"Off Riverside Drive, Opposite The Chirom",,Nairobi,Kenya,http://www.kwani.org/our-history/kwani.htm,http://www.kwani.org/our-history/kwani.htm
Wayan International Organization For Development,Muratina Road,,Nairobi,Kenya,http://www.blarbus.co.ke/listings/wayan-international-organization-for-development/,http://www.blarbus.co.ke/listings/wayan-international-organization-for-development/,http://www.kenpro.org/kpp/network-w.htm
Kk Lodgit Limited,Amee Arcade Building Parklands Road,,Nairobi,Kenya,http://www.yellowpageskenya.com/site/details/10001,https://softkenya.com/directory/kk-lodgit-ltd/,http://www.yellowpageskenya.com/site/details/10232358
Asl Limited,Dar-Es-Salaam Road,,Nairobi,Kenya,http://www.asl.co.ke/trading/,https://www.youtube.com/user/ASLLimited,http://www.asl.co.ke/contact-us/
Globalfreight Logistics Limited,Airport North Road,,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/95771-global-freight-logistics-ltd-nairobi.aspx,http://www.freightlogistics.com/,https://softkenya.com/directory/global-freight-logistics-ltd-formerly-markfirst-kenya-ltd/
Pedser Youth Organisation,"350, Sotik",,Sotik,Kenya,http://www.pedseryouthorganisation.insideke.com/,
Harnssen Group Limited,Riverside Drive,,Nairobi,Kenya,https://domlab.net/harnssengroup.com,http://harnssengroup.com/,http://hsg.co.ke/about.html
Maersk Logistics Kenya Ltd,"Harbour House 2Nd & 3Rd Floors,  Moi Avenue",,Mombasa,Kenya,https://www.kenyaplex.com/business-directory/16024-maersk-k-ltd-nairobi.aspx,https://www.maerskline.com/countries/kenya
Led Lighting Kenya Limited,Makasembo Road,,Kisumu,Kenya,http://yellow.co.ke/power-innovations-ltd-nairobi-3,http://yellow.co.ke/lighting-solutions-ltd-nairobi,http://energy.sourceguides.com/businesses/byP/light/LEDLighting/byB/wholesale/byGeo/byC/Kenya/Kenya.shtml
Savla Enterprises Ltd,"Plot 23 Xxv,  Nkurumah Road",,Mombasa,Kenya,http://www.businesslist.co.ke/company/92944/savla-enterprises-ltd,https://www.duedil.com/company/gb/05320314/savla-enterprises-ltd
Josra Coffee Ltd,Wakulima House Haile Selasie Avenue,,Nairobi,Kenya,http://www.businesslist.co.ke/company/22126/josra-coffee-co-ltd,https://softkenya.com/directory/josra-coffee-co-ltd-2/,https://www.kenyaplex.com/business-directory/4818-josra-coffee-company-limited-nairobi.aspx
Kenya Tourisim Board,Kenya-Re Towers Ragati Road,P.O. Box 30630,Nairobi,Kenya,http://www.magicalkenya.com/talk-to-us/,http://ktb.go.ke/tenders-jobs/tenders/,http://www.magicalkenya.com/
Wondernuts K Ltd,"Prime Bank House,  Riverside Drive",,Nairobi,Kenya,http://www.deputypresident.go.ke/index.php/opening-wondernut-international-epz-limited,http://www.datamyne.com/supplier/3199434/wondernuts-kenya-limited
Norken (I) Ltd,Norfolk Towers Kijabe Street,Phase 11 Block G On,Nairobi,Kenya,https://www.kenyaplex.com/business-directory/35633-norken-international-ltd-norfolk-towers-block-g.aspx,http://yellow.co.ke/norken-k-ltd-nairobi,http://trickleout.net/index.php/directory-pilot/kenya/norken-international-limited
Catalyst Travel Limited,"Mpaka Plaza,  Mpaka Road",,Nairobi,Kenya,http://www.yourafricansafari.com/african-safari-tour-operator/catalyst-travels,http://www.catalysttravels.com/contact/
Digital Era Ltd,Kahawa Wendani,,Nairobi,Kenya,https://www.duedil.com/company/gb/08644652/danube-digital-era-ltd,https://www.duedil.com/company/gb/08644652/danube-digital-era-ltd,https://www.weforum.org/agenda/2015/04/how-to-equip-organisations-for-the-digital-era/
Communication Solutions Ltd,4Th Floor Museum Hill Center,Museum Hill Road,Nairobi,Kenya,,,
Seifee Bakeries 1968 Ltd,Jomo Kenyatta Avenue,,Mombasa,Kenya,http://www.yellowpageskenya.com/site/details/7177,http://dbohra.com/Business/BusinessDetails/3085,http://www.yellowpageskenya.com/site/details/9945459
Tobs Kenya Golf Safaris,Lenana Road,,Nairobi,Kenya,http://www.worldcorporategolfchallenge.com/2015/10/tobs-kenya-golf-safaris-travel-events-becomes-the-latest-license-holder-of-the-wcgc/,http://www.worldcorporategolfchallenge.com/2015/10/tobs-kenya-golf-safaris-travel-events-becomes-the-latest-license-holder-of-the-wcgc/,https://m.facebook.com/Tobs-Kenya-Golf-Safaris-Travel-and-Events-221929094543596/
Priyanka Investment Ltd,Kenyatta Avenue,,Nakuru,Kenya,http://www.priyankawealth.com/content/profile/sitemap.asp,http://www.priyankawealth.com/,http://www.priyankawealth.com/content/profile/contactus.asp
Elite Earthmovers Ltd,Kangundo Road,,Nairobi,Kenya,http://www.businesslist.co.ke/company/76537/elite-earthmovers,https://www.kenyaplex.com/business-directory/3597-elite-earth-movers-limited-nairobi.aspx,http://www.businesslist.co.ke/company/74067/elite-earthmovers-ltd
Health Innovations Limited,Argwings Kodhek,,Nairobi,Kenya,https://www.hiiquote.com/,https://www.shil.co.uk/,https://www.shil.co.uk/
Greentech Supplies,Koinange Street,,Nairobi,Kenya,http://www.green-tech.co.uk/,http://www.greentechindl.com/,http://www.ripoffreport.com/reports/green-tech-imaging/los-angeles-california-91311/green-tech-imaging-allstate-imaging-allstate-imaging-is-now-calling-itself-green-tech-imag-683642
Social Science & Medicine Africa Network,"Mapera Court,  Langata Road",,Nairobi,Kenya,,
